DELIVERY_DATE,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],measurement_name
2024-02-05,2024-02-04 09:18:45.994,2024-02-05 13:50:00,2024-02-05 14:05:00,aFRR,POS_058,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.744,2024-02-05 14:05:00,2024-02-05 14:20:00,aFRR,POS_059,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.028,2024-02-05 14:20:00,2024-02-05 14:35:00,aFRR,POS_060,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.916,2024-02-05 14:35:00,2024-02-05 14:50:00,aFRR,POS_061,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:19:13.810,2024-02-05 14:50:00,2024-02-05 15:05:00,aFRR,POS_062,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.420,2024-02-05 15:05:00,2024-02-05 15:20:00,aFRR,POS_063,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.247,2024-02-05 15:20:00,2024-02-05 15:35:00,aFRR,POS_064,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.713,2024-02-05 15:35:00,2024-02-05 15:50:00,aFRR,POS_065,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.325,2024-02-05 15:50:00,2024-02-05 16:05:00,aFRR,POS_066,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.888,2024-02-05 16:05:00,2024-02-05 16:20:00,aFRR,POS_067,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:54.166,2024-02-05 16:20:00,2024-02-05 16:35:00,aFRR,POS_068,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.463,2024-02-05 16:35:00,2024-02-05 16:50:00,aFRR,POS_069,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.123,2024-02-05 16:50:00,2024-02-05 17:05:00,aFRR,POS_070,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:54.273,2024-02-05 17:05:00,2024-02-05 17:20:00,aFRR,POS_071,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.388,2024-02-05 17:20:00,2024-02-05 17:35:00,aFRR,POS_072,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:19:03.548,2024-02-05 17:35:00,2024-02-05 17:50:00,aFRR,POS_073,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.089,2024-02-05 17:50:00,2024-02-05 18:05:00,aFRR,POS_074,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:53.025,2024-02-05 18:05:00,2024-02-05 18:20:00,aFRR,POS_075,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.103,2024-02-05 18:20:00,2024-02-05 18:35:00,aFRR,POS_076,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.982,2024-02-05 18:35:00,2024-02-05 18:50:00,aFRR,POS_077,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.665,2024-02-05 18:50:00,2024-02-05 19:05:00,aFRR,POS_078,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.060,2024-02-05 19:05:00,2024-02-05 19:20:00,aFRR,POS_079,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.041,2024-02-05 19:20:00,2024-02-05 19:35:00,aFRR,POS_080,1938,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.998,2024-02-05 19:35:00,2024-02-05 19:50:00,aFRR,POS_081,1801,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.987,2024-02-05 19:50:00,2024-02-05 20:05:00,aFRR,POS_082,1801,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.799,2024-02-05 20:05:00,2024-02-05 20:20:00,aFRR,POS_083,1801,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.481,2024-02-05 20:20:00,2024-02-05 20:35:00,aFRR,POS_084,1801,energy_afrr_demand
